(1.45479, 1.98065) (-3.03544, 2.02917) (1.50275, -1.88932) (-1.31526, 2.07227) (-3.15445, 2.39852) (-1.09223, -1.62672) 
(1.38907, 1.96543) (-3.03544, 2.02917) (1.44327, -1.89283) (-1.26979, 2.07313) (-3.15445, 2.39852) (-1.04637, -1.62622) 
(1.30373, 1.95338) (-3.03544, 2.02917) (1.36639, -1.88784) (-1.20816, 2.07329) (-3.15445, 2.39852) (-0.981019, -1.62679) 
(1.2329, 1.95083) (-3.03544, 2.02917) (1.30529, -1.87908) (-1.15047, 2.07276) (-3.15445, 2.39852) (-0.926032, -1.62645) 
(1.16772, 1.95435) (-3.03544, 2.02917) (1.24216, -1.86287) (-1.09819, 2.07198) (-3.15445, 2.39852) (-0.874412, -1.62621) 
(1.09359, 1.96192) (-3.03544, 2.02917) (1.1741, -1.83141) (-1.04743, 2.0751) (-3.15445, 2.39852) (-0.829282, -1.62437) 
(1.01625, 1.97346) (-3.03544, 2.02917) (1.11133, -1.79929) (-0.996028, 2.08085) (-3.15445, 2.39852) (-0.785213, -1.61638) 
(0.930222, 1.98948) (-3.03544, 2.02917) (1.043, -1.77919) (-0.94731, 2.09059) (-3.15445, 2.39852) (-0.732608, -1.60224) 
(0.865537, 1.99884) (-3.03544, 2.02917) (0.997374, -1.77372) (-0.909186, 2.10004) (-3.15445, 2.39852) (-0.694783, -1.58999) 
(0.784313, 2.00373) (-3.03544, 2.02917) (0.929142, -1.7769) (-0.866852, 2.11503) (-3.15445, 2.39852) (-0.656598, -1.57208) 
(0.717249, 2.00356) (-3.03544, 2.02917) (0.869803, -1.78309) (-0.828382, 2.13235) (-3.15445, 2.39852) (-0.624346, -1.55131) 
(0.650631, 1.997) (-3.03544, 2.02917) (0.79679, -1.796) (-0.794758, 2.15395) (-3.15445, 2.39852) (-0.58548, -1.52283) 
(0.59497, 1.98589) (-3.03544, 2.02917) (0.730201, -1.81765) (-0.765877, 2.17383) (-3.15445, 2.39852) (-0.547513, -1.49702) 
(0.529677, 1.96329) (-3.03544, 2.02917) (0.656627, -1.85233) (-0.725847, 2.20198) (-3.15445, 2.39852) (-0.498345, -1.4669) 
(0.478239, 1.93746) (-3.03544, 2.02917) (0.596779, -1.88441) (-0.692012, 2.22317) (-3.15445, 2.39852) (-0.46262, -1.45256) 
(0.402795, 1.89497) (-3.03544, 2.02917) (0.515854, -1.9183) (-0.653494, 2.24425) (-3.15445, 2.39852) (-0.418529, -1.43856) 
(0.341592, 1.8659) (-3.03544, 2.02917) (0.455303, -1.93225) (-0.616985, 2.25987) (-3.15445, 2.39852) (-0.381426, -1.43123) 
(0.275148, 1.84199) (-3.03544, 2.02917) (0.37782, -1.94154) (-0.581163, 2.27089) (-3.15445, 2.39852) (-0.339553, -1.42703) 
(0.224655, 1.83027) (-3.03544, 2.02917) (0.321903, -1.94059) (-0.553389, 2.27796) (-3.15445, 2.39852) (-0.307743, -1.42904) 
(0.159268, 1.82326) (-3.03544, 2.02917) (0.240238, -1.93008) (-0.508197, 2.28157) (-3.15445, 2.39852) (-0.271619, -1.43189) 
(0.0925843, 1.8251) (-3.03544, 2.02917) (0.146286, -1.90611) (-0.463953, 2.28675) (-3.15445, 2.39852) (-0.226051, -1.43383) 
(0.0382994, 1.83222) (-3.03544, 2.02917) (0.0710669, -1.88037) (-0.428296, 2.28895) (-3.15445, 2.39852) (-0.19477, -1.43348) 
(-0.0364917, 1.84937) (-3.03544, 2.02917) (-0.0308425, -1.85422) (-0.381315, 2.29336) (-3.15445, 2.39852) (-0.15938, -1.42624) 
(-0.0970233, 1.86444) (-3.03544, 2.02917) (-0.102394, -1.83944) (-0.351338, 2.29625) (-3.15445, 2.39852) (-0.13859, -1.41971) 
(-0.174882, 1.88147) (-3.03544, 2.02917) (-0.18453, -1.82534) (-0.308248, 2.30954) (-3.15445, 2.39852) (-0.116418, -1.40348) 
(-0.250982, 1.89084) (-3.03544, 2.02917) (-0.257403, -1.8193) (-0.275191, 2.32637) (-3.15445, 2.39852) (-0.0940449, -1.38262) 
(-0.323766, 1.89198) (-3.03544, 2.02917) (-0.333497, -1.80973) (-0.244315, 2.34782) (-3.15445, 2.39852) (-0.0784122, -1.36137) 
(-0.380065, 1.88789) (-3.03544, 2.02917) (-0.397705, -1.80299) (-0.22814, 2.3675) (-3.15445, 2.39852) (-0.0678812, -1.34691) 
(-0.461792, 1.87619) (-3.03544, 2.02917) (-0.489893, -1.80386) (-0.206015, 2.39656) (-3.15445, 2.39852) (-0.0483822, -1.32563) 
(-0.526821, 1.86275) (-3.03544, 2.02917) (-0.565703, -1.81211) (-0.195748, 2.41479) (-3.15445, 2.39852) (-0.0328001, -1.3106) 
