(2.12608, 1.44719) (1.63511, -0.17778) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.68548, -1.43287) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.45948, -0.235573) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.75066, -1.45706) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.31689, -0.298963) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.79096, -1.47252) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.10379, -0.409839) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.84462, -1.49165) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.966572, -0.478704) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.87526, -1.50303) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.78121, -0.557761) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.92027, -1.51759) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.507712, -0.658998) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.9455, -1.5294) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.216655, -0.750438) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.93981, -1.52497) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.0323166, -0.802792) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94024, -1.52665) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-0.174675, -0.869612) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94436, -1.52657) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-0.330031, -0.935802) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94297, -1.52637) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-0.488527, -1.01452) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94331, -1.52662) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-0.644491, -1.09486) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94338, -1.5264) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-0.774198, -1.16249) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94314, -1.52646) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-0.84553, -1.19755) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94332, -1.52641) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-0.978662, -1.24692) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94323, -1.52643) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.0633, -1.269) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94315, -1.52647) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.14804, -1.27514) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94323, -1.52644) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.20815, -1.26667) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94325, -1.52647) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.28109, -1.24821) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94319, -1.52647) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.34818, -1.22279) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94321, -1.52642) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.42859, -1.18269) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.9432, -1.52644) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.49737, -1.1457) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.9432, -1.52646) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.57157, -1.10592) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94322, -1.52647) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.61644, -1.08508) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94321, -1.52646) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.61627, -1.08512) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94321, -1.52646) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.75415, -1.03431) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94323, -1.52643) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.82224, -1.01622) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94324, -1.52644) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.88931, -1.00428) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94319, -1.52636) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.94153, -0.997917) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52573) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-1.99571, -0.994042) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52568) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.03157, -0.989741) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52569) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.07947, -0.97724) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52573) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.11135, -0.959893) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52575) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.1382, -0.941138) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52572) (-2.63877, 2.30803) 
