(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40586, 0.601702) (0.0435076, 2.48425) (-0.152197, 1.18187) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40587, 0.601701) (0.0435879, 2.48433) (-0.177281, 1.23569) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40588, 0.601711) (0.0434548, 2.4843) (-0.194076, 1.2773) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601706) (0.0434239, 2.48428) (-0.205175, 1.3129) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.60171) (0.0435379, 2.48443) (-0.227923, 1.37623) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601715) (0.0436001, 2.48448) (-0.24174, 1.42005) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601713) (0.0436093, 2.48445) (-0.258943, 1.47291) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601738) (0.0436345, 2.48448) (-0.279536, 1.5339) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601715) (0.0435858, 2.48446) (-0.299966, 1.59141) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601732) (0.0436064, 2.48447) (-0.321795, 1.65786) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601701) (0.0436082, 2.48431) (-0.341421, 1.71342) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601709) (0.0432838, 2.48429) (-0.356326, 1.76016) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601726) (0.0434462, 2.48428) (-0.37781, 1.82463) 
